Date,Close/Last,Volume,Open,High,Low
7/15/2020,$59.27 ,9459354,$58.65 ,$59.61 ,$58.32 
7/14/2020,$57.89 ,12153930,$57.83 ,$58.10 ,$57.29 
7/13/2020,$57.75 ,10149020,$57.57 ,$58.49 ,$57.50 
7/10/2020,$57.43 ,8770005,$58.00 ,$58.09 ,$57.16 
7/9/2020,$58.11 ,12780350,$59.66 ,$60.14 ,$57.83 
7/8/2020,$59.56 ,10507020,$60.32 ,$60.68 ,$59.28 
7/7/2020,$60.29 ,12767120,$59.76 ,$60.61 ,$59.52 
7/6/2020,$60.19 ,8810771,$59.60 ,$60.58 ,$58.87 
7/2/2020,$59.14 ,11366050,$59.30 ,$59.64 ,$58.75 
7/1/2020,$59.43 ,11738310,$59.19 ,$59.73 ,$58.88 
6/30/2020,$58.80 ,12139660,$57.86 ,$59.20 ,$57.50 
6/29/2020,$57.80 ,9831434,$57.99 ,$58.14 ,$57.31 
6/26/2020,$57.54 ,26132410,$57.96 ,$58.02 ,$56.67 
6/25/2020,$58.18 ,15267200,$58.01 ,$58.47 ,$57.70 
6/24/2020,$57.76 ,11177160,$58.11 ,$58.21 ,$57.11 
6/23/2020,$58.38 ,15557250,$57.94 ,$59.10 ,$57.82 
6/22/2020,$57.56 ,18716180,$56.24 ,$57.69 ,$55.92 
6/19/2020,$56.41 ,54103620,$56.70 ,$56.83 ,$54.73 
6/18/2020,$55.97 ,14113280,$56.57 ,$56.62 ,$55.58 
6/17/2020,$56.95 ,13638180,$57.21 ,$57.36 ,$56.71 
6/16/2020,$57.06 ,16976050,$55.93 ,$57.29 ,$55.50 
6/15/2020,$55.10 ,21617770,$55.64 ,$55.78 ,$54.07 
6/12/2020,$56.17 ,14864160,$57.59 ,$57.65 ,$55.59 
6/11/2020,$56.71 ,17371870,$59.90 ,$60.28 ,$56.40 
6/10/2020,$60.16 ,13343690,$61.24 ,$61.42 ,$59.90 
6/9/2020,$60.93 ,12159520,$61.75 ,$62.17 ,$60.93 
6/8/2020,$61.43 ,12549060,$60.60 ,$61.43 ,$60.40 
6/5/2020,$61.33 ,11862570,$61.18 ,$61.77 ,$60.53 
6/4/2020,$60.89 ,13476930,$59.82 ,$61.09 ,$59.82 
6/3/2020,$60.21 ,13497600,$60.70 ,$60.89 ,$59.69 
6/2/2020,$60.65 ,15460090,$60.29 ,$60.68 ,$59.27 
6/1/2020,$60.29 ,11508670,$59.46 ,$61.44 ,$59.43 
5/29/2020,$59.72 ,27225420,$60.30 ,$60.47 ,$59.38 
5/28/2020,$59.81 ,14977980,$60.96 ,$60.98 ,$59.68 
5/27/2020,$60.40 ,19071690,$60.00 ,$60.52 ,$59.11 
5/26/2020,$60.32 ,18447830,$61.51 ,$61.51 ,$60.18 
5/22/2020,$60.79 ,9228647,$61.01 ,$61.66 ,$60.59 
5/21/2020,$61.14 ,16015980,$61.62 ,$61.87 ,$60.44 
5/20/2020,$61.68 ,16658220,$63.00 ,$63.25 ,$60.83 
5/19/2020,$62.71 ,11052360,$63.43 ,$63.82 ,$62.49 
5/18/2020,$63.60 ,15172060,$64.92 ,$65.21 ,$63.48 
5/15/2020,$64.09 ,35224430,$64.20 ,$65.34 ,$63.81 
5/14/2020,$63.77 ,18221660,$62.50 ,$64.13 ,$62.13 
5/13/2020,$63.27 ,17287890,$63.17 ,$63.93 ,$62.58 
5/12/2020,$63.35 ,18928070,$63.17 ,$64.27 ,$62.88 
5/11/2020,$62.66 ,14146750,$60.87 ,$62.81 ,$60.77 
5/8/2020,$61.05 ,16961400,$61.83 ,$62.18 ,$60.95 
5/7/2020,$61.04 ,17537560,$62.52 ,$62.60 ,$60.62 
5/6/2020,$61.13 ,14589040,$61.65 ,$62.23 ,$60.94 
5/5/2020,$61.36 ,13340820,$60.60 ,$61.80 ,$60.43 
5/4/2020,$60.17 ,16990000,$60.74 ,$60.92 ,$59.73 
5/1/2020,$60.26 ,15582840,$60.85 ,$60.87 ,$59.68 
4/30/2020,$60.81 ,17554520,$60.85 ,$61.11 ,$60.36 
4/29/2020,$61.63 ,11035130,$62.37 ,$62.62 ,$61.53 
4/28/2020,$62.14 ,10858900,$62.93 ,$63.18 ,$61.77 
4/27/2020,$62.56 ,13994720,$62.64 ,$63.02 ,$62.41 
4/24/2020,$62.25 ,10461460,$61.67 ,$62.55 ,$61.26 
4/23/2020,$60.95 ,11897560,$61.32 ,$61.99 ,$60.84 
4/22/2020,$60.93 ,12081490,$61.26 ,$61.91 ,$60.88 
4/21/2020,$60.59 ,22203020,$60.86 ,$61.32 ,$60.26 
4/20/2020,$61.68 ,17445970,$60.75 ,$62.84 ,$60.60 
4/17/2020,$60.60 ,16697940,$60.38 ,$60.77 ,$59.88 
4/16/2020,$59.56 ,12984910,$59.80 ,$60.35 ,$59.50 
4/15/2020,$59.46 ,14402050,$59.30 ,$59.89 ,$58.90 
4/14/2020,$60.04 ,14258950,$59.83 ,$60.73 ,$59.63 
4/13/2020,$58.92 ,13921580,$58.50 ,$59.40 ,$58.06 
4/9/2020,$58.91 ,13256810,$58.80 ,$59.58 ,$58.37 
4/8/2020,$58.25 ,15268730,$57.05 ,$59.13 ,$56.36 
4/7/2020,$56.90 ,19224360,$58.53 ,$58.59 ,$56.68 
4/6/2020,$57.87 ,22589720,$57.07 ,$58.07 ,$56.58 
4/3/2020,$55.53 ,14654180,$54.99 ,$56.47 ,$54.90 
4/2/2020,$55.21 ,12929440,$54.84 ,$55.32 ,$53.58 
4/1/2020,$54.82 ,13441280,$53.62 ,$55.70 ,$53.52 
3/31/2020,$55.74 ,28461660,$54.30 ,$56.24 ,$54.24 
3/30/2020,$54.39 ,18013520,$53.20 ,$55.08 ,$53.20 
3/27/2020,$52.79 ,14498370,$51.11 ,$53.78 ,$50.87 
3/26/2020,$52.25 ,21601730,$50.46 ,$53.32 ,$50.31 
3/25/2020,$49.35 ,20921290,$49.03 ,$51.95 ,$48.17 
3/24/2020,$49.24 ,16484850,$48.18 ,$49.50 ,$47.39 
3/23/2020,$46.40 ,21237020,$47.19 ,$48.40 ,$45.76 
3/20/2020,$48.40 ,20370800,$49.05 ,$50.64 ,$47.25 
3/19/2020,$48.79 ,20058310,$50.11 ,$50.72 ,$48.13 
3/18/2020,$50.24 ,27384170,$51.63 ,$52.39 ,$48.02 
3/17/2020,$54.09 ,17519640,$51.83 ,$54.10 ,$51.20 
3/16/2020,$51.11 ,20582760,$50.13 ,$53.76 ,$48.01 
3/13/2020,$54.99 ,23503560,$54.89 ,$55.50 ,$51.78 
3/12/2020,$52.75 ,22963000,$52.33 ,$54.90 ,$50.62 
3/11/2020,$56.51 ,19771940,$56.78 ,$57.96 ,$55.81 
3/10/2020,$57.93 ,24830990,$58.82 ,$58.95 ,$55.91 
3/9/2020,$57.66 ,22385910,$56.01 ,$59.14 ,$56.00 
3/6/2020,$60.31 ,14833930,$58.88 ,$60.42 ,$58.76 
3/5/2020,$60.50 ,15119360,$60.70 ,$61.24 ,$59.84 
3/4/2020,$61.48 ,18228260,$60.20 ,$61.68 ,$59.69 
3/3/2020,$59.20 ,18250050,$60.86 ,$61.85 ,$58.34 
3/2/2020,$60.34 ,19500310,$59.57 ,$60.78 ,$58.68 
2/28/2020,$59.06 ,28294860,$57.76 ,$59.21 ,$56.37 
2/27/2020,$59.58 ,20624840,$61.00 ,$61.58 ,$59.56 
2/26/2020,$62.04 ,11266850,$61.75 ,$63.39 ,$61.61 
2/25/2020,$62.14 ,15706040,$63.89 ,$63.91 ,$61.60 
2/24/2020,$63.97 ,12105010,$64.08 ,$65.06 ,$63.69 
2/21/2020,$65.63 ,10134810,$64.87 ,$65.87 ,$64.80 
2/20/2020,$65.17 ,11360500,$65.63 ,$65.98 ,$64.89 
2/19/2020,$65.71 ,9905376,$66.00 ,$66.05 ,$65.36 
2/18/2020,$66.07 ,13832960,$66.51 ,$66.97 ,$65.44 
2/14/2020,$66.38 ,7530791,$66.25 ,$66.83 ,$65.98 
